Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
03/28/2020 07:00:56,121.15576,10.44321,675.61,14.50852,16.17297,1.29947,
03/28/2020 06:00:56,117.52136,10.35229,681.08,11.44834,12.59052,0.66876,
03/28/2020 05:00:56,118.3822,10.11945,675.89,13.65719,17.86063,2.59043,
03/28/2020 04:00:56,127.81121,9.38502,679.99,14.64106,19.82553,3.33668,
03/28/2020 03:00:56,144.4122,10.74479,708.96,14.95605,17.2131,1.80891,
03/28/2020 02:00:56,163.13367,10.07954,704.86,10.33914,10.91147,0.51387,
03/28/2020 01:00:56,174.73136,9.94693,717.71,6.95417,7.24584,0.32082,
03/28/2020 00:00:56,174.02644,9.86133,710.05,5.99561,7.19507,0.78339,
03/27/2020 23:00:56,177.67356,9.94826,727.55,8.10943,8.83718,0.47874,
03/27/2020 22:00:56,186.58203,10.14384,713.33,8.94297,10.29198,0.79579,
03/27/2020 21:00:56,202.56085,11.50938,710.6,14.41389,20.8083,4.32938,
03/27/2020 20:00:56,184.75881,10.26045,699.12,9.68541,11.88404,1.42698,
03/27/2020 19:00:56,151.70814,9.87065,697.48,10.55424,14.32184,2.40027,
03/27/2020 18:00:56,127.90441,10.52481,694.75,7.73777,12.07364,2.9292,
